0;1715
1;1748
2;1682
3;1726
4;1726
5;1715
6;1693
7;1704
8;1715
9;1715
10;1715
11;1715
12;1715
13;1726
14;1737
15;1748
16;1748
17;1726
18;1726
19;1726
20;1737
21;1748
22;1737
23;1715
24;1726
25;1781
26;1726
27;1726
28;1704
29;1704
30;1693
31;1715
32;1759
33;1715
34;1715
35;1726
36;1726
37;1726
38;1715
39;1726
40;1748
41;1748
42;1770
43;1770
44;1770
45;1759
46;1759
47;1770
48;1759
49;1737
50;1759
51;1748
52;1748
53;1737
54;1759
55;1715
56;1759
57;1748
58;1748
59;1781
60;1748
61;1748
62;1748
63;1737
64;1748
65;1759
66;1737
67;1737
68;1737
69;1759
70;1737
71;1748
72;1748
73;1748
74;1748
75;1726
76;1781
77;1737
78;1748
79;1748
80;1781
81;1803
82;1781
83;1759
84;1792
85;1825
86;1803
87;1770
88;1759
89;1759
90;1781
91;1748
92;1748
93;1748
94;1803
95;1792
96;1770
97;1759
98;1759
99;1759
100;1781
101;1759
102;1748
103;1770
104;1770
105;1781
106;1770
107;1770
108;1781
109;1781
110;1781
111;1792
112;1792
113;1792
114;1770
115;1770
116;1781
117;1781
118;1770
119;1770
120;1792
121;1814
122;1759
123;1792
124;1770
125;1792
126;1792
127;1770
128;1748
129;1748
130;1748
131;1770
132;1770
133;1803
134;1781
135;1781
136;1770
137;1770
138;1770
139;1770
140;1770
141;1803
142;1792
143;1792
144;1781
145;1814
146;1803
147;1814
148;1825
149;1825
150;1792
151;1836
152;1836
153;1803
154;1825
155;1825
156;1825
157;1858
158;1792
159;1803
160;1858
161;1858
162;1803
163;1825
164;1825
165;1825
166;1792
167;1836
168;1825
169;1847
170;1836
171;1814
172;1814
173;1814
174;1814
175;1836
176;1825
177;1836
178;1814
179;1847
180;1836
181;1836
182;1858
183;1847
184;1825
185;1803
186;1814
187;1814
188;1803
189;1836
190;1825
191;1825
192;1825
193;1814
194;1814
195;1814
196;1836
197;1880
198;1836
199;1847
200;1847
201;1847
202;1891
203;1858
204;1858
205;1858
206;1869
207;1869
208;1858
209;1847
210;1836
211;1869
212;1902
213;1891
214;1880
215;1880
216;1880
217;1869
218;1902
219;1847
220;1847
221;1858
222;1869
223;1858
224;1869
225;1858
226;1869
227;1869
228;1869
229;1858
230;1880
231;1869
232;1869
233;1869
234;1869
235;1880
236;1891
237;1869
238;1902
239;1891
240;1891
241;1880
242;1880
243;1902
244;1902
245;1891
246;1880
247;1847
248;1880
249;1880
250;1902
251;1891
252;1891
253;1880
254;1880
255;1869
256;1880
257;1891
258;1891
259;1880
260;1891
261;1924
262;1946
263;1913
264;1891
265;1891
266;1880
267;1891
268;1913
269;1902
270;1891
271;1902
272;1924
273;1913
274;1913
